Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Total
2016,-,Ukraine,-,UKR,6
2017,-,Ukraine,-,UKR,5
2018,-,Ukraine,-,UKR,5
2024,-,Ukraine,-,UKR,209064
2023,-,Ukraine,-,UKR,399050
2022,-,Ukraine,-,UKR,660000
2025,-,Ukraine,-,UKR,139251
2012,-,Ukraine,-,UKR,
2013,-,Ukraine,-,UKR,
2014,-,Ukraine,-,UKR,
2015,-,Ukraine,-,UKR,
2019,-,Ukraine,-,UKR,
2020,-,Ukraine,-,UKR,
2021,-,Ukraine,-,UKR,
