Year,"Country of Origin","Country of Origin ISO",Total
1992,"Bosnia and Herzegovina",BIH,
1994,"Bosnia and Herzegovina",BIH,
1995,"Bosnia and Herzegovina",BIH,
1996,"Bosnia and Herzegovina",BIH,
1997,"Bosnia and Herzegovina",BIH,58360
1993,"Bosnia and Herzegovina",BIH,
