Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Total
2001,-,Iraq,-,IRQ,1967
2002,-,Iraq,-,IRQ,1255
2003,-,Iraq,-,IRQ,55431
2004,-,Iraq,-,IRQ,193990
2005,-,Iraq,-,IRQ,56150
2006,-,Iraq,-,IRQ,20226
2007,-,Iraq,-,IRQ,45420
2008,-,Iraq,-,IRQ,25644
2009,-,Iraq,-,IRQ,38033
2010,-,Iraq,-,IRQ,28888
2011,-,Iraq,-,IRQ,67086
2012,-,Iraq,-,IRQ,82271
2013,-,Iraq,-,IRQ,60880
