Year,"Country of Origin","Country of Origin ISO",Total
2009,Iraq,IRQ,2764000
2010,Iraq,IRQ,2800000
2011,Iraq,IRQ,2600000
2012,Iraq,IRQ,2100000
2013,Iraq,IRQ,2100000
