Year,"Country of Origin","Country of Origin ISO",Total
2001,Iraq,IRQ,
2002,Iraq,IRQ,
2003,Iraq,IRQ,
2004,Iraq,IRQ,
2005,Iraq,IRQ,196000
2006,Iraq,IRQ,150000
2007,Iraq,IRQ,36000
2008,Iraq,IRQ,195890
2009,Iraq,IRQ,167740
2010,Iraq,IRQ,294770
2011,Iraq,IRQ,193610
2012,Iraq,IRQ,218800
2013,Iraq,IRQ,63270
