Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Procedure Type","Application type","Decision level",App_pc,Applied
2008,-,Iraq,-,IRQ,J,N,FI,P,5
2008,-,Iraq,-,IRQ,U,A,FA,P,97
2008,-,Iraq,-,IRQ,U,R,RA,P,38
2008,-,Iraq,-,IRQ,U,N,AR,P,74
2008,-,Iraq,-,IRQ,G,N,EO,P,346
2008,-,Iraq,-,IRQ,G,N,IN,C,463
2009,-,Iraq,-,IRQ,U,N,FI,P,5193
2009,-,Iraq,-,IRQ,G,N,FI,P,13263
2009,-,Iraq,-,IRQ,G,A,AR,C,14
2009,-,Iraq,-,IRQ,G,NR,FA,P,410
2009,-,Iraq,-,IRQ,G,NA,FA,P,76
2009,-,Iraq,-,IRQ,G,R,FI,P,328
2009,-,Iraq,-,IRQ,U,NR,FA,P,739
2009,-,Iraq,-,IRQ,G,A,AR,P,3766
2009,-,Iraq,-,IRQ,G,N,RA,P,15
2009,-,Iraq,-,IRQ,G,N,NA,P,6538
2009,-,Iraq,-,IRQ,G,R,RA,P,781
2009,-,Iraq,-,IRQ,G,N,FA,P,62
2009,-,Iraq,-,IRQ,G,N,AR,P,2208
2009,-,Iraq,-,IRQ,U,N,AR,P,46
2009,-,Iraq,-,IRQ,U,A,AR,P,23
2009,-,Iraq,-,IRQ,U,N,FA,P,5
2009,-,Iraq,-,IRQ,U,R,RA,P,9
2009,-,Iraq,-,IRQ,U,A,FA,P,152
2009,-,Iraq,-,IRQ,G,N,EO,P,221
2009,-,Iraq,-,IRQ,G,N,IN,C,322
2010,-,Iraq,-,IRQ,U,N,FI,P,8672
2010,-,Iraq,-,IRQ,U,A,AR,P,479
2010,-,Iraq,-,IRQ,G,N,FI,P,9664
2010,-,Iraq,-,IRQ,G,A,AR,C,33
2010,-,Iraq,-,IRQ,G,NR,FA,P,408
2010,-,Iraq,-,IRQ,G,N,RA,P,724
2010,-,Iraq,-,IRQ,G,N,FI,C,452
2010,-,Iraq,-,IRQ,U,NR,FA,P,908
2010,-,Iraq,-,IRQ,G,N,AR,P,1445
2010,-,Iraq,-,IRQ,G,R,RA,P,804
2010,-,Iraq,-,IRQ,G,N,NA,P,5555
2010,-,Iraq,-,IRQ,G,A,AR,P,184
2010,-,Iraq,-,IRQ,G,R,AR,P,29
2010,-,Iraq,-,IRQ,G,A,SP,P,44
2010,-,Iraq,-,IRQ,U,R,RA,P,91
2010,-,Iraq,-,IRQ,G,N,FA,P,10
2010,-,Iraq,-,IRQ,U,R,FI,P,31
2010,-,Iraq,-,IRQ,G,N,TA,P,10
2010,-,Iraq,-,IRQ,G,N,JR,P,993
2010,-,Iraq,-,IRQ,U,A,FA,P,346
2010,-,Iraq,-,IRQ,G,A,EO,P,141
2010,-,Iraq,-,IRQ,G,N,IN,C,272
2011,-,Iraq,-,IRQ,U,N,FI,P,10957
2011,-,Iraq,-,IRQ,U,A,AR,P,310
2011,-,Iraq,-,IRQ,G,N,FI,P,8678
2011,-,Iraq,-,IRQ,G,N,AR,C,50
2011,-,Iraq,-,IRQ,G,NR,FA,P,499
2011,-,Iraq,-,IRQ,G,R,RA,P,1236
2011,-,Iraq,-,IRQ,G,N,FA,P,371
2011,-,Iraq,-,IRQ,G,A,AR,P,147
2011,-,Iraq,-,IRQ,J,N,FA,P,5
2011,-,Iraq,-,IRQ,G,N,RA,P,11
2011,-,Iraq,-,IRQ,G,A,AR,C,257
2011,-,Iraq,-,IRQ,G,N,NA,P,5831
2011,-,Iraq,-,IRQ,G,N,AR,P,1507
2011,-,Iraq,-,IRQ,G,R,FI,P,62
